NumberOfBins,TypeOfCrime,PredictedOctoberError,PredictedTestError,PredictedUniformError,UniformOctoberError,UniformTestError
100,1,0.000425770243327,0.000314210370916,0.00141072190973,0.00129444305867,0.00120125624484
100,5,0.00059134054173,0.000514748972987,0.000767255085547,0.00129444305867,0.00120125624484
