NumberOfBins,PredictedOctoberError,PredictedTestError,PredictedUniformError,UniformOctoberError,UniformTestError
20,0.000533015307664,0.000267468108543,0.0134843190039,0.0166842525332,0.0158769439561
40,0.000177002125486,2.07105600492e-05,0.00490111745961,0.0053934146382,0.00524588324923
60,0.000168374960443,2.90735166858e-05,0.00254629289597,0.00291354528266,0.00278490570469
100,0.000130321963502,1.99684261807e-05,0.00109402918996,0.00129444305867,0.00121351385142
