NumberOfBins,Temperature,PredictedOctoberError,BaselineOctoberError,SpecificConditionsVsAllCrimesOctoberError
20,0,0.000492130416557,0.000221253237741,0.000489987989028
20,1,0.000947986757829,0.000819441559497,0.000417613513183
40,0,0.000195541027129,0.000182613260408,0.000182627445049
40,1,0.000622057345082,0.000615318425647,0.000188761015101
60,0,0.000177449656461,0.000159616835404,0.000171891812543
60,1,0.000637546140584,0.000622553895494,0.000173406944063
100,0,0.000144440602034,0.00013473695556,0.000136995331779
100,1,0.000564760871722,0.000555736571718,0.000134005619423
